Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Spain Government 10-15Y Index,EMTX_ES_E,EUR,PDG01MTS,MTSEER,MTSEER= 
S,FTSE Eurozone Spain Government 15Y+ Index,EMTX_ES_F,EUR,PDG01MTS,MTSEFR,MTSEFR= 
S,FTSE Eurozone Spain Government Index,EMTX_ES_G,EUR,PDG01MTS,MTSEGR,MTSEGR= 
S,FTSE Eurozone Spain Government (Mid Price) Index,EMTX_ES_G_MP,EUR,PDG01MTS,-,FMMPESAR= 
S,FTSE Eurozone Government Bond 15Y+ Index,EMTX_F,EUR,PDG01MTS,EMTXFRT,EMTXFRT= 
S,FTSE Eurozone Government Bond 15-25Y Index,EMTX_FA,EUR,PDG01MTS,EMTXFAR,EMTXFART= 
S,FTSE Eurozone Government Bond 25Y+ Index,EMTX_FB,EUR,PDG01MTS,EMTXFBR,EMTXFBRT= 
S,FTSE Eurozone France Government 1-3Y Index,EMTX_FR_A,EUR,PDG01MTS,MTSFAR,MTSFART= 
S,FTSE Eurozone Mid Price France Govt 1-3 yrs EUR,EMTX_FR_A_MP,EUR,PDG01MTS,FMMPFRAR,FMMPFRAR= 
S,FTSE Eurozone France Government 3-5Y Index,EMTX_FR_B,EUR,PDG01MTS,MTSFBR,MTSFBRT= 
S,FTSE Eurozone France Government 5-7Y Index,EMTX_FR_C,EUR,PDG01MTS,MTSFCR,MTSFCRT= 
S,FTSE Eurozone France Government 7-10Y Index,EMTX_FR_D,EUR,PDG01MTS,MTSFDR,MTSFDRT= 
S,FTSE Eurozone France Government 10-15Y Index,EMTX_FR_E,EUR,PDG01MTS,MTSFER,MTSFERT= 
S,FTSE Eurozone France Government 15Y+ Index,EMTX_FR_F,EUR,PDG01MTS,MTSFFR,MTSFFRT= 
S,FTSE Eurozone France Government Index,EMTX_FR_G,EUR,PDG01MTS,MTSFGR,MTSFGRT= 
S,FTSE Eurozone France Government (Mid Price) Index,EMTX_FR_G_MP,EUR,PDG01MTS,-,FMMPFRGR= 
S,FTSE Eurozone Government Bond Index,EMTX_G,EUR,PDG01MTS,EMTXGRT,EMTXGRT= 
S,FTSE Eurozone Italy Government 1-3Y Index,EMTX_IT_A,EUR,PDG01MTS,MTSIAR,MTSIART= 
S,FTSE Eurozone Italy Government 1-3Y (Mid Price) Index,EMTX_IT_A_MP,EUR,PDG01MTS,FMMPITAR,FMMPITAR= 
S,FTSE Eurozone Italy Government 3-5Y Index,EMTX_IT_B,EUR,PDG01MTS,MTSIBR,MTSIBRT= 
S,FTSE Eurozone Italy Government 5-7Y Index,EMTX_IT_C,EUR,PDG01MTS,MTSICR,MTSICRT= 
S,FTSE Eurozone Italy Government 7-10Y Index,EMTX_IT_D,EUR,PDG01MTS,MTSIDR,MTSIDRT= 
S,FTSE Eurozone Italy Government 10-15Y Index,EMTX_IT_E,EUR,PDG01MTS,MTSIER,MTSIERT= 
S,FTSE Eurozone Italy Government 15Y+ Index,EMTX_IT_F,EUR,PDG01MTS,MTSIFR,MTSIFRT= 
S,FTSE Eurozone Italy Government Index,EMTX_IT_G,EUR,PDG01MTS,MTSIGR,MTSIGRT= 
